Data size,comp_time_ms,decomp_time_ms,comp_throughput_gb_s,decomp_throughput_gb_s,compression_ratio
256.0 KB,0.046,0.038,5.7,6.92,0.675
1.0 MB,0.069,0.064,15.11,16.48,0.6737
8.0 MB,0.078,0.068,107.08,122.94,0.6736
16.0 MB,0.087,0.08,192.86,208.78,0.6739
32.0 MB,0.102,0.1,328.3,336.03,0.6738
64.0 MB,0.141,0.12,476.8,557.15,0.6739
