Tensor Size,NCCL (Ring) GB/s,Lzip Compression GB/s,Two Shot GB/s
8 MB,11.4221,6.3797,8.7125
16 MB,15.7477,15.0047,14.736
32 MB,19.1306,21.6752,19.1263
64 MB,21.317,25.6865,19.4445
256 MB,21.7901,28.6772,21.2171
1 GB,22.0373,29.8184,21.9628
