Tensor Size,Throughput(GB/s) baseline,Throughput(GB/s)encode_send,Throughput(GB/s)split_send
256.0 KB,0.9334106742,0.4816752507,0.34175955
1.0 MB,14.89522269,15.27730184,15.47649746
8.0 MB,32.45438395,25.68869701,29.08958666
32.0 MB,41.51018235,43.04408098,51.21191747
64.0 MB,42.4671349,48.45926352,58.95353313
128.0 MB,44.73134463,51.52165259,62.65316213
512.0 MB,46.0717731,55.83970509,66.40225842
1.0 GB,46.81655035,56.5137817,66.46828508
