Data size,comp_time_ms,decomp_time_ms,comp_throughput_gb_s,decomp_throughput_gb_s,compression_ratio
512.0 KB,0.067,0.069,7.84,7.64,0.8315
1.0 MB,0.067,0.07,15.68,14.93,0.8312
4.0 MB,0.071,0.068,58.69,62.13,0.8313
8.0 MB,0.079,0.069,106.73,120.86,0.831
16.0 MB,0.09,0.085,187.35,198.43,0.8311
32.0 MB,0.128,0.103,261.65,324.26,0.831
64.0 MB,0.174,0.136,386.4,493.05,0.831
