Tensor Size,Throughput(GB/s) baseline,Throughput(GB/s)encode_send,Throughput(GB/s)split_send
256.0 KB,0.9334106742,0.8025309392,4.693514232
1.0 MB,14.89522269,15.13341414,14.4413859
8.0 MB,32.45438395,22.71963705,25.93602595
32.0 MB,41.51018235,39.82168895,50.32870086
64.0 MB,42.4671349,44.9376152,56.35604589
128.0 MB,44.73134463,47.78321672,59.11010515
512.0 MB,46.0717731,50.87182993,60.40046786
1.0 GB,46.81655035,51.82154311,60.96859312
