role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.0004373968405517362,5.467460506896702e-05
Server,1024,1.0 KB,0.00261595302750262,0.0003269941284378275
Server,4096,4.0 KB,0.03392636835558015,0.004240796044447518
Server,16384,16.0 KB,0.10220924422209401,0.012776155527761752
Server,65536,64.0 KB,1.4622508740909215,0.18278135926136518
Server,262144,256.0 KB,5.72371028514608,0.71546378564326
Server,1048576,1.0 MB,122.97866112099823,15.372332640124778
Server,4194304,4.0 MB,212.8974847112112,26.6121855889014
Server,8388608,8.0 MB,261.0784757519814,32.63480946899767
Server,16777216,16.0 MB,310.73896266085023,38.84237033260628
Server,33554432,32.0 MB,330.50836359746813,41.31354544968352
Server,67108864,64.0 MB,341.5523748349183,42.694046854364785
Server,134217728,128.0 MB,361.05884846093034,45.13235605761629
Server,268435456,256.0 MB,364.69161935650453,45.58645241956307
Server,536870912,512.0 MB,375.4796129714172,46.93495162142715
Server,1073741824,1.0 GB,374.1365733392759,46.76707166740949
