role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.0003561211142047237,4.451513927559046e-05
Client,1024,1.0 KB,0.0030223889584798146,0.0003777986198099768
Client,4096,4.0 KB,0.018564657604486196,0.0023205822005607744
Client,16384,16.0 KB,0.1075029641283374,0.013437870516042175
Client,65536,64.0 KB,0.7246505431350473,0.09058131789188091
Client,262144,256.0 KB,6.579504769901022,0.8224380962376278
Client,1048576,1.0 MB,124.92696255273859,15.615870319092323
Client,4194304,4.0 MB,30.849595020440223,3.856199377555028
Client,8388608,8.0 MB,209.38724681770955,26.173405852213694
Client,16777216,16.0 MB,301.65144271435105,37.70643033929388
Client,33554432,32.0 MB,375.57103691553846,46.94637961444231
Client,67108864,64.0 MB,435.19559866383946,54.39944983297993
Client,134217728,128.0 MB,458.6983666483519,57.33729583104399
Client,268435456,256.0 MB,476.8414597237907,59.60518246547384
Client,536870912,512.0 MB,478.22870846952713,59.77858855869089
Client,1073741824,1.0 GB,482.7493512227568,60.3436689028446
