role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.000503238368284354,6.290479603554425e-05
Client,1024,1.0 KB,0.0051620458283826815,0.0006452557285478352
Client,4096,4.0 KB,0.013041274280640332,0.0016301592850800416
Client,16384,16.0 KB,0.10239008123698504,0.01279876015462313
Client,65536,64.0 KB,0.7830342201892367,0.09787927752365459
Client,262144,256.0 KB,2.1251975956472875,0.26564969945591094
Client,1048576,1.0 MB,123.1208960580911,15.390112007261388
Client,4194304,4.0 MB,37.14804868754474,4.643506085943092
Client,8388608,8.0 MB,217.7668572858016,27.2208571607252
Client,16777216,16.0 MB,280.6295391162257,35.078692389528214
Client,33554432,32.0 MB,337.066130900708,42.1332663625885
Client,67108864,64.0 MB,387.74931255592514,48.46866406949064
Client,134217728,128.0 MB,418.6959971948353,52.33699964935441
Client,268435456,256.0 MB,428.8760943338403,53.609511791730036
Client,536870912,512.0 MB,436.8295738162405,54.60369672703006
Client,1073741824,1.0 GB,447.1943754528189,55.899296931602365
