[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821664 bytes, ratio: 0.675787x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821664 bytes, ratio: 0.675787x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821664 bytes, ratio: 0.675787x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821664 bytes, ratio: 0.675787x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821664 bytes, ratio: 0.675787x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821664 bytes, ratio: 0.675787x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821664 bytes, ratio: 0.675787x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821664 bytes, ratio: 0.675787x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821664 bytes, ratio: 0.675787x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821664 bytes, ratio: 0.675787x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75821664 bytes, ratio: 0.675787x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75721952 bytes, ratio: 0.674898x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75742624 bytes, ratio: 0.675082x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75772240 bytes, ratio: 0.675346x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75810976 bytes, ratio: 0.675691x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75773760 bytes, ratio: 0.67536x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75749984 bytes, ratio: 0.675148x
[ERROR | RDMA | ip-172-31-36-157 | 3193479 | 3193479 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75819328 bytes, ratio: 0.675766x
