Data size,size_bytes,comp_time_ms,decomp_time_ms,comp_throughput_gb_s,decomp_throughput_gb_s,compressed_bytes,compression_ratio
512.0 KB,524288,0.066,0.068,7.97,7.66,439344,0.838
1.0 MB,1048576,0.071,0.062,14.87,16.93,877920,0.8372
4.0 MB,4194304,0.07,0.067,60.26,62.45,3510096,0.8369
8.0 MB,8388608,0.071,0.065,117.43,128.78,7019440,0.8368
16.0 MB,16777216,0.078,0.088,215.88,191.4,14039552,0.8368
32.0 MB,33554432,0.093,0.102,362.1,329.59,28082096,0.8369
64.0 MB,67108864,0.117,0.117,572.07,572.92,56161904,0.8369
128.0 MB,134217728,0.184,0.152,731.02,880.12,112350048,0.8371
