[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75820320 bytes, ratio: 0.675775x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75820320 bytes, ratio: 0.675775x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75820320 bytes, ratio: 0.675775x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75820320 bytes, ratio: 0.675775x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75820320 bytes, ratio: 0.675775x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75820320 bytes, ratio: 0.675775x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75820320 bytes, ratio: 0.675775x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75820320 bytes, ratio: 0.675775x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75820320 bytes, ratio: 0.675775x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75820320 bytes, ratio: 0.675775x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75820320 bytes, ratio: 0.675775x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75707024 bytes, ratio: 0.674765x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75732544 bytes, ratio: 0.674992x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75791344 bytes, ratio: 0.675516x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75784480 bytes, ratio: 0.675455x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75804752 bytes, ratio: 0.675636x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75808368 bytes, ratio: 0.675668x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75828736 bytes, ratio: 0.67585x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75798928 bytes, ratio: 0.675584x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75773104 bytes, ratio: 0.675354x
[ERROR | RDMA | ip-172-31-36-157 | 2983705 | 2983705 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75744160 bytes, ratio: 0.675096x
