role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.0003676537247258217,4.595671559072771e-05
Client,1024,1.0 KB,0.003195055028906753,0.0003993818786133441
Client,4096,4.0 KB,0.018868664414889512,0.002358583051861189
Client,16384,16.0 KB,0.06288396016112287,0.007860495020140358
Client,65536,64.0 KB,1.6854406496740635,0.21068008120925794
Client,262144,256.0 KB,5.080063947910836,0.6350079934888545
Client,1048576,1.0 MB,123.06959242754796,15.383699053443495
Client,4194304,4.0 MB,30.46405747013866,3.8080071837673324
Client,8388608,8.0 MB,205.1684744911527,25.646059311394087
Client,16777216,16.0 MB,293.7282166059202,36.71602707574002
Client,33554432,32.0 MB,355.8983230535528,44.4872903816941
Client,67108864,64.0 MB,397.0287653490989,49.62859566863736
Client,134217728,128.0 MB,425.96495189210174,53.24561898651272
Client,268435456,256.0 MB,441.07718460079127,55.13464807509891
Client,536870912,512.0 MB,454.4434866040421,56.80543582550526
Client,1073741824,1.0 GB,459.16856255659104,57.39607031957388
