role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.0003945862763323544,4.93232845415443e-05
Client,1024,1.0 KB,0.0017162992171861275,0.00021453740214826594
Client,4096,4.0 KB,0.024661601034362785,0.003082700129295348
Client,16384,16.0 KB,0.20883784733760796,0.026104730917200995
Client,65536,64.0 KB,0.7144164305212627,0.08930205381515784
Client,262144,256.0 KB,4.290819114285933,0.5363523892857416
Client,1048576,1.0 MB,123.34827813625063,15.418534767031328
Client,4194304,4.0 MB,31.062326414695065,3.882790801836883
Client,8388608,8.0 MB,230.3849010616138,28.798112632701724
Client,16777216,16.0 MB,289.43407140217397,36.179258925271746
Client,33554432,32.0 MB,360.70483472407557,45.088104340509446
Client,67108864,64.0 MB,411.82985477767545,51.47873184720943
Client,134217728,128.0 MB,443.32213828770654,55.41526728596332
Client,268435456,256.0 MB,462.6759233703797,57.83449042129746
Client,536870912,512.0 MB,475.32777155946104,59.41597144493263
Client,1073741824,1.0 GB,477.8616734390525,59.73270917988156
