role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.0002987789889263576,3.73473736157947e-05
Client,1024,1.0 KB,0.0038066949901295324,0.00047583687376619155
Client,4096,4.0 KB,0.01700371219418948,0.002125464024273685
Client,16384,16.0 KB,0.14796461708803393,0.018495577136004242
Client,65536,64.0 KB,0.6703335755054971,0.08379169693818714
Client,262144,256.0 KB,3.9755720053717334,0.4969465006714667
Client,1048576,1.0 MB,18.330194071604115,2.2912742589505144
Client,4194304,4.0 MB,31.648693325120444,3.9560866656400555
Client,8388608,8.0 MB,248.10228204152952,31.01278525519119
Client,16777216,16.0 MB,331.1217735931253,41.39022169914066
Client,33554432,32.0 MB,418.24598052621224,52.28074756577653
Client,67108864,64.0 MB,500.2602184824151,62.53252731030189
Client,134217728,128.0 MB,501.4860791712184,62.6857598964023
Client,268435456,256.0 MB,501.54426529332017,62.69303316166502
Client,536870912,512.0 MB,500.4039725250713,62.550496565633914
Client,1073741824,1.0 GB,501.7504882636873,62.718811032960915
