Data size,size_bytes,comp_time_ms,decomp_time_ms,comp_throughput_gb_s,decomp_throughput_gb_s,compressed_bytes,compression_ratio
512.0 KB,524288,0.067,0.071,7.83,7.39,378096,0.7212
1.0 MB,1048576,0.066,0.066,15.93,16.0,756032,0.721
4.0 MB,4194304,0.073,0.068,57.12,62.0,3026416,0.7216
8.0 MB,8388608,0.082,0.07,102.9,119.42,6053616,0.7216
16.0 MB,16777216,0.086,0.08,195.86,210.9,12111824,0.7219
32.0 MB,33554432,0.121,0.107,277.96,312.35,24217024,0.7217
64.0 MB,67108864,0.167,0.134,402.43,501.28,48459008,0.7221
128.0 MB,134217728,0.257,0.213,523.2,628.7,96902368,0.722
