[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75809824 bytes, ratio: 0.675681x
[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75809824 bytes, ratio: 0.675681x
[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75809824 bytes, ratio: 0.675681x
[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75809824 bytes, ratio: 0.675681x
[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75809824 bytes, ratio: 0.675681x
[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75809824 bytes, ratio: 0.675681x
[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75809824 bytes, ratio: 0.675681x
[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75809824 bytes, ratio: 0.675681x
[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75809824 bytes, ratio: 0.675681x
[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75809824 bytes, ratio: 0.675681x
[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75809824 bytes, ratio: 0.675681x
[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75707024 bytes, ratio: 0.674765x
[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75732496 bytes, ratio: 0.674992x
[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75772512 bytes, ratio: 0.675349x
[ERROR | RDMA | ip-172-31-36-157 | 3178869 | 3178869 | compress | rdma/compression.h:251] DietGPUCompressorBackend: Compressed 112197632 bytes to 75799408 bytes, ratio: 0.675588x
