role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.00029876271396672585,3.734533924584073e-05
Server,1024,1.0 KB,0.0038034456204258976,0.0004754307025532372
Server,4096,4.0 KB,0.017003760728710897,0.002125470091088862
Server,16384,16.0 KB,0.14798110567289688,0.01849763820911211
Server,65536,64.0 KB,0.6704288967279601,0.08380361209099502
Server,262144,256.0 KB,3.9750716422423715,0.49688395528029644
Server,1048576,1.0 MB,18.336472692980564,2.2920590866225705
Server,4194304,4.0 MB,166.42627109527635,20.803283886909544
Server,8388608,8.0 MB,249.50195048538995,31.187743810673744
Server,16777216,16.0 MB,334.8239447733602,41.852993096670026
Server,33554432,32.0 MB,420.7388314177211,52.592353927215136
Server,67108864,64.0 MB,500.64807301296247,62.58100912662031
Server,134217728,128.0 MB,501.48591489112323,62.685739361390404
Server,268435456,256.0 MB,501.7227968753189,62.715349609414865
Server,536870912,512.0 MB,500.34866773453706,62.54358346681713
Server,1073741824,1.0 GB,501.7048980346415,62.713112254330184
