role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.0013838520419967356,0.00017298150524959195
Client,1024,1.0 KB,0.007976154869979327,0.000997019358747416
Client,4096,4.0 KB,0.055709302415574605,0.006963662801946826
Client,16384,16.0 KB,0.49198985127962447,0.06149873140995306
Client,65536,64.0 KB,1.0572803783283848,0.1321600472910481
Client,262144,256.0 KB,35.334856652536224,4.416857081567028
Client,1048576,1.0 MB,120.80177443032238,15.100221803790298
Client,4194304,4.0 MB,62.075749836564746,7.759468729570593
Client,8388608,8.0 MB,241.2667884843844,30.15834856054805
Client,16777216,16.0 MB,341.8558340665422,42.73197925831777
Client,33554432,32.0 MB,431.9147613093353,53.98934516366691
Client,67108864,64.0 MB,508.88329744106085,63.610412180132606
Client,134217728,128.0 MB,551.4304970505775,68.92881213132219
Client,268435456,256.0 MB,575.4131647608029,71.92664559510037
Client,536870912,512.0 MB,594.2643214028188,74.28304017535235
Client,1073741824,1.0 GB,604.1593184853912,75.5199148106739
