name,shape,dtype,Data size,size_bytes,comp_time_ms,decomp_time_ms,comp_throughput_gb_s,decomp_throughput_gb_s,compressed_bytes,compression_ratio
decoder.layers.34.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.104,0.11,362.14,341.8,32032160,0.8486
decoder.layers.35.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.07,0.059,0.24,0.28,14288,0.8721
decoder.layers.35.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.269,0.236,834.72,951.49,188495904,0.84
decoder.layers.35.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.177,0.139,634.6,809.09,94215568,0.8397
decoder.layers.35.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.065,0.06,0.25,0.27,14288,0.8721
decoder.layers.35.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.061,0.25,0.27,14288,0.8721
decoder.layers.35.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.096,0.105,348.35,319.82,28308256,0.8437
decoder.layers.35.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.059,0.054,0.16,0.17,8448,0.9167
decoder.layers.35.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.065,0.059,0.25,0.28,14288,0.8721
decoder.layers.35.self_attention.linear_qkv.weight,"[2304, 4096]",float32,36.0 MB,37748736,0.103,0.109,364.89,346.91,32077872,0.8498
decoder.layers.36.mlp.linear_fc1.layer_norm.weight,[4096],float32,16.0 KB,16384,0.068,0.06,0.24,0.27,14288,0.8721
decoder.layers.36.mlp.linear_fc1.weight,"[13696, 4096]",float32,214.0 MB,224395264,0.274,0.237,820.35,948.48,188752032,0.8412
decoder.layers.36.mlp.linear_fc2.weight,"[4096, 6848]",float32,107.0 MB,112197632,0.17,0.14,661.49,801.75,94333328,0.8408
decoder.layers.36.post_mlp.layernorm.weight,[4096],float32,16.0 KB,16384,0.064,0.06,0.26,0.27,14304,0.873
decoder.layers.36.post.self_attn.layernorm.weight,[4096],float32,16.0 KB,16384,0.07,0.06,0.23,0.27,14288,0.8721
decoder.layers.36.self_attention.linear_proj.weight,"[4096, 2048]",float32,32.0 MB,33554432,0.103,0.103,327.0,325.04,28319104,0.844
decoder.layers.36.self_attention.linear_qkv.bias,[2304],float32,9.0 KB,9216,0.06,0.05,0.15,0.19,8416,0.9132
decoder.layers.36.self_attention.linear_qkv.layer_norm.weight,[4096],float32,16.0 KB,16384,0.064,0.066,0.26,0.25,14304,0.873
