role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.00046738609235778567,5.842326154472321e-05
Client,1024,1.0 KB,0.0029038566408300798,0.00036298208010375997
Client,4096,4.0 KB,0.025659939953744187,0.0032074924942180234
Client,16384,16.0 KB,0.10233017542688407,0.012791271928360508
Client,65536,64.0 KB,0.4078117773517837,0.05097647216897296
Client,262144,256.0 KB,37.894610149430456,4.736826268678807
Client,1048576,1.0 MB,122.80995707034775,15.351244633793469
Client,4194304,4.0 MB,34.63503826990234,4.329379783737792
Client,8388608,8.0 MB,182.75610380873752,22.84451297609219
Client,16777216,16.0 MB,249.71293070114527,31.21411633764316
Client,33554432,32.0 MB,304.2673477054498,38.03341846318123
Client,67108864,64.0 MB,344.04769595836086,43.00596199479511
Client,134217728,128.0 MB,368.45416154035433,46.05677019254429
Client,268435456,256.0 MB,377.4956404058213,47.18695505072766
Client,536870912,512.0 MB,391.5851294438097,48.94814118047621
Client,1073741824,1.0 GB,393.8357619043843,49.22947023804804
