role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.00044147082034329965,5.5183852542912456e-05
Server,1024,1.0 KB,0.0021166402625675484,0.00026458003282094355
Server,4096,4.0 KB,0.013324839939638577,0.001665604992454822
Server,16384,16.0 KB,0.30271753351213443,0.037839691689016804
Server,65536,64.0 KB,0.3729961668649973,0.046624520858124664
Server,262144,256.0 KB,1.5290683846908806,0.19113354808636007
Server,1048576,1.0 MB,122.02552374177691,15.253190467722114
Server,4194304,4.0 MB,118.42177872879122,14.802722341098903
Server,8388608,8.0 MB,157.7083189400977,19.713539867512214
Server,16777216,16.0 MB,206.60603732709274,25.825754665886592
Server,33554432,32.0 MB,241.1589335613079,30.144866695163486
Server,67108864,64.0 MB,263.1670232252372,32.89587790315465
Server,134217728,128.0 MB,277.1212607773482,34.640157597168525
Server,268435456,256.0 MB,287.02110971569624,35.87763871446203
Server,536870912,512.0 MB,292.9925756150588,36.62407195188235
Server,1073741824,1.0 GB,298.6039994075461,37.32549992594326
