Tensor Size,Throughput(GB/s) baseline,Throughput(GB/s)encode_send,Throughput(GB/s)split_send
256.0 KB,0.9334106742,0.713121798,0.2656496995
1.0 MB,14.89522269,15.35124463,15.55630747
8.0 MB,32.45438395,22.84451298,25.74132252
32.0 MB,41.51018235,38.03341846,47.6862395
64.0 MB,42.4671349,43.00596199,54.71027379
128.0 MB,44.73134463,46.05677019,56.29298358
512.0 MB,46.0717731,48.94814118,56.55751635
1.0 GB,46.81655035,49.22947024,56.36570949
