role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.0004365621202054156,5.457026502567695e-05
Server,1024,1.0 KB,0.0037170234422787855,0.0004646279302848482
Server,4096,4.0 KB,0.017252485825064393,0.002156560728133049
Server,16384,16.0 KB,0.37023562231266777,0.04627945278908347
Server,65536,64.0 KB,0.7850630083773066,0.09813287604716332
Server,262144,256.0 KB,5.711224683076619,0.7139030853845774
Server,1048576,1.0 MB,124.15354518868348,15.519193148585435
Server,4194304,4.0 MB,170.9153797871327,21.36442247339159
Server,8388608,8.0 MB,244.75465952106646,30.594332440133307
Server,16777216,16.0 MB,330.7196172125498,41.339952151568724
Server,33554432,32.0 MB,419.43400502518676,52.429250628148345
Server,67108864,64.0 MB,506.11897116911734,63.26487139613967
Server,134217728,128.0 MB,534.1277919198141,66.76597398997676
Server,268435456,256.0 MB,557.4903908852925,69.68629886066157
Server,536870912,512.0 MB,566.1846031606055,70.7730753950757
Server,1073741824,1.0 GB,577.1445142906963,72.14306428633704
