role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.0003676583976394279,4.5957299704928485e-05
Server,1024,1.0 KB,0.0031980887666699376,0.0003997610958337422
Server,4096,4.0 KB,0.018893874581442847,0.002361734322680356
Server,16384,16.0 KB,0.06288902607030043,0.007861128258787554
Server,65536,64.0 KB,1.6856622821069374,0.21070778526336717
Server,262144,256.0 KB,5.093437285093987,0.6366796606367484
Server,1048576,1.0 MB,122.92477598306074,15.365596997882593
Server,4194304,4.0 MB,141.84034159606156,17.730042699507695
Server,8388608,8.0 MB,205.92641140768654,25.740801425960818
Server,16777216,16.0 MB,295.42481702296215,36.92810212787027
Server,33554432,32.0 MB,356.43450041658417,44.55431255207302
Server,67108864,64.0 MB,397.3900016848013,49.67375021060016
Server,134217728,128.0 MB,426.19342369917285,53.27417796239661
Server,268435456,256.0 MB,441.1950426083341,55.149380326041765
Server,536870912,512.0 MB,454.52674473902465,56.81584309237808
Server,1073741824,1.0 GB,459.2118140573217,57.40147675716521
