role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.0003686906396371977,4.6086329954649715e-05
Server,1024,1.0 KB,0.002377952295034032,0.000297244036879254
Server,4096,4.0 KB,0.01462897046258306,0.0018286213078228825
Server,16384,16.0 KB,0.411436679670319,0.051429584958789874
Server,65536,64.0 KB,1.0300124964431927,0.1287515620553991
Server,262144,256.0 KB,2.426106295823745,0.3032632869779681
Server,1048576,1.0 MB,123.92702493017688,15.49087811627211
Server,4194304,4.0 MB,163.6617943776887,20.457724297211087
Server,8388608,8.0 MB,239.50335496583415,29.93791937072927
Server,16777216,16.0 MB,327.53646252040073,40.94205781505009
Server,33554432,32.0 MB,404.6570660310791,50.58213325388489
Server,67108864,64.0 MB,471.71109932813147,58.96388741601643
Server,134217728,128.0 MB,507.466477476261,63.433309684532624
Server,268435456,256.0 MB,525.0507078891295,65.63133848614119
Server,536870912,512.0 MB,531.3582495087712,66.4197811885964
Server,1073741824,1.0 GB,546.2844723677252,68.28555904596566
