Tensor Size,Throughput(GB/s) baseline,Throughput(GB/s)encode_send,Throughput(GB/s)split_send
256.0 KB,0.7164189452,0.713121798,0.2656496995
1.0 MB,15.31933135,15.28699005,15.39011201
8.0 MB,32.62167436,23.80112261,27.22085716
32.0 MB,41.31278749,39.56705793,42.13326636
64.0 MB,42.64840732,44.56003419,48.46866407
128.0 MB,45.13182789,47.81499818,52.33699965
512.0 MB,46.9337449,50.43326269,54.60369673
1.0 GB,46.7667093,51.25901178,55.89929693
