Data size,size_bytes,comp_time_ms,decomp_time_ms,comp_throughput_gb_s,decomp_throughput_gb_s,compressed_bytes,compression_ratio
512.0 KB,524288,0.075,0.069,6.98,7.56,451504,0.8612
1.0 MB,1048576,0.067,0.072,15.67,14.57,902688,0.8609
4.0 MB,4194304,0.068,0.077,61.82,54.69,3609792,0.8606
8.0 MB,8388608,0.075,0.074,111.15,113.61,7219984,0.8607
16.0 MB,16777216,0.091,0.085,184.97,196.89,14440032,0.8607
32.0 MB,33554432,0.111,0.103,301.49,325.04,28879120,0.8607
64.0 MB,67108864,0.165,0.115,406.84,585.17,57766752,0.8608
128.0 MB,134217728,0.265,0.193,507.31,695.5,115516896,0.8607
