role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.00043626089837960123,5.4532612297450154e-05
Client,1024,1.0 KB,0.0031853440604012488,0.0003981680075501561
Client,4096,4.0 KB,0.01759885513056773,0.0021998568913209663
Client,16384,16.0 KB,0.19947899230246027,0.024934874037807534
Client,65536,64.0 KB,0.2518775833552201,0.03148469791940251
Client,262144,256.0 KB,2.734076400048965,0.3417595500061206
Client,1048576,1.0 MB,123.81197964358613,15.476497455448266
Client,4194304,4.0 MB,31.578391883498547,3.9472989854373184
Client,8388608,8.0 MB,232.71669329065946,29.089586661332433
Client,16777216,16.0 MB,304.69225100233444,38.086531375291806
Client,33554432,32.0 MB,409.69533972047213,51.21191746505902
Client,67108864,64.0 MB,471.62826503007483,58.953533128759354
Client,134217728,128.0 MB,501.22529707703075,62.65316213462884
Client,268435456,256.0 MB,520.8568810539102,65.10711013173878
Client,536870912,512.0 MB,531.2180673929474,66.40225842411843
Client,1073741824,1.0 GB,531.746280676454,66.46828508455675
