role,size_bytes,size_pretty,gbps,gb_sec
Server,256,256 B,0.00040868709927864485,5.1085887409830606e-05
Server,1024,1.0 KB,0.0022314143976524463,0.0002789267997065558
Server,4096,4.0 KB,0.016878719486097742,0.002109839935762218
Server,16384,16.0 KB,0.10405184745240076,0.013006480931550095
Server,65536,64.0 KB,0.34439657955522257,0.04304957244440282
Server,262144,256.0 KB,37.402389972579584,4.675298746572448
Server,1048576,1.0 MB,122.74544669431481,15.343180836789351
Server,4194304,4.0 MB,130.9149022487902,16.364362781098777
Server,8388608,8.0 MB,192.60130951902912,24.07516368987864
Server,16777216,16.0 MB,247.32224834272958,30.915281042841197
Server,33554432,32.0 MB,295.4755135367966,36.934439192099575
Server,67108864,64.0 MB,336.4785949713431,42.05982437141789
Server,134217728,128.0 MB,356.43539970888645,44.554424963610806
Server,268435456,256.0 MB,368.73980396750227,46.092475495937784
Server,536870912,512.0 MB,378.43217430947897,47.30402178868487
Server,1073741824,1.0 GB,383.4233543052975,47.92791928816219
