role,mode,size_bytes,size_pretty,gbps,gb_sec,iters,rank,world_size
Client,sync,112197632,107.0 MB,398.5409,49.8176,100,0,2
Client,sync,224395264,214.0 MB,452.9160,56.6145,100,0,2
Client,sync,33554432,32.0 MB,365.6963,45.7120,100,0,2
Client,sync,33554432,32.0 MB,366.4038,45.8005,100,0,2
