role,size_bytes,size_pretty,gbps,gb_sec
Client,256,256 B,0.00036000934631875547,4.5001168289844433e-05
Client,1024,1.0 KB,0.003814014281232381,0.0004767517851540476
Client,4096,4.0 KB,0.03840086554796242,0.004800108193495302
Client,16384,16.0 KB,0.15784818195129108,0.019731022743911385
Client,65536,64.0 KB,0.4092835401675504,0.0511604425209438
Client,262144,256.0 KB,5.350031764028959,0.6687539705036198
Client,1048576,1.0 MB,117.23678038427474,14.654597548034342
Client,4194304,4.0 MB,31.9712965009306,3.996412062616325
Client,8388608,8.0 MB,247.16375122894294,30.895468903617868
Client,16777216,16.0 MB,328.6748496758885,41.08435620948606
Client,33554432,32.0 MB,417.33978805753,52.16747350719125
Client,67108864,64.0 MB,499.8510444820533,62.48138056025666
Client,134217728,128.0 MB,533.7172298881794,66.71465373602243
Client,268435456,256.0 MB,548.2871833023805,68.53589791279757
Client,536870912,512.0 MB,554.5585071709652,69.31981339637065
Client,1073741824,1.0 GB,556.94733887643,69.61841735955375
