Data size,size_bytes,comp_time_ms,decomp_time_ms,comp_throughput_gb_s,decomp_throughput_gb_s,compressed_bytes,compression_ratio
512.0 KB,524288,0.067,0.069,7.84,7.64,435920,0.8315
1.0 MB,1048576,0.067,0.07,15.68,14.93,871616,0.8312
4.0 MB,4194304,0.071,0.068,58.69,62.13,3486720,0.8313
8.0 MB,8388608,0.079,0.069,106.73,120.86,6971328,0.831
16.0 MB,16777216,0.09,0.085,187.35,198.43,13943168,0.8311
32.0 MB,33554432,0.128,0.103,261.65,324.26,27884224,0.831
64.0 MB,67108864,0.174,0.136,386.4,493.05,55770816,0.831
128.0 MB,134217728,0.273,0.216,491.52,621.05,111538096,0.831
